sku_category.skuseq,sku_category.status,sku_category.unit,sku_category.cate,sku_category.fst_sales_dy
581577,ACTIVE,Kitchen,Tools & Gadgets,20160110
590938,ACTIVE,Kitchen,Tableware,20151220
598138,ACTIVE,Kitchen,Tableware,20160106
609178,ACTIVE,Kitchen,Food Storage,20151218
611098,ACTIVE,Kitchen,Tools & Gadgets,20151211
614458,ACTIVE,Kitchen,Food Storage,20160905
638698,ACTIVE,Kitchen,Tableware,20160711
645898,ACTIVE,Kitchen,Tableware,20151229
646138,ACTIVE,Kitchen,Tableware,20160221
646618,ACTIVE,Kitchen,Tableware,20160211
649018,ACTIVE,Kitchen,Kitchen Accessories,20160129
650698,OTHER,Kitchen,Tools & Gadgets,20160112
650938,ACTIVE,Kitchen,Kitchen Accessories,20160118
657419,ACTIVE,Kitchen,Kitchen Accessories,20160720
1676234,ACTIVE,Kitchen,Kitchen Accessories,20161217
1681994,ACTIVE,Kitchen,Cookware,20160624
1682234,OTHER,Kitchen,Kitchen Accessories,20160117
1682474,ACTIVE,Kitchen,Kitchen Accessories,20160104
1683434,ACTIVE,Kitchen,Tableware,20160112
1685114,ACTIVE,Kitchen,Tableware,20160117
1687034,ACTIVE,Kitchen,Kitchen Accessories,20160104
1701674,ACTIVE,Kitchen,Tableware,20160318
1705035,ACTIVE,Kitchen,Food Storage,20160121
1705755,ACTIVE,Kitchen,Kitchen Accessories,20160128
1719675,ACTIVE,Kitchen,Tools & Gadgets,20160908
1723035,ACTIVE,Kitchen,Tableware,20160305
1731435,ACTIVE,Kitchen,Kitchen Accessories,20160223
1735035,ACTIVE,Kitchen,Tableware,20160112
1735755,ACTIVE,Kitchen,Kitchen Accessories,20160714
1738875,ACTIVE,Kitchen,Tableware,20161127
1742715,ACTIVE,Kitchen,Kitchen Accessories,20160116
1752075,ACTIVE,Kitchen,Tools & Gadgets,20160123
1760715,ACTIVE,Kitchen,Kitchen Accessories,20160415
1765515,ACTIVE,Kitchen,Food Storage,20160510
1765755,ACTIVE,Kitchen,Kitchen Accessories,20160126
1770076,ACTIVE,Kitchen,Tools & Gadgets,20160412
1770316,ACTIVE,Kitchen,Kitchen Accessories,20160131
